trial_id,parent_trial,config_name,change_group,explicit_symbols,autoselected_symbols,boot_level,analysis_path,notes
G-001,,mkroot,untouched-mkroot-baseline,mkroot-baseline/linux-miniconfig,Kconfig-expanded,G4,,Original ledger row is complete.
K-RECOVERY-001,,,external-stock-kernel-recovery-validation,,,B6-T,,Checkpoint recovered from validated project status; historical ledger row remains immutable.
K-MKROOT-001,G-001,mkroot,external-custom-kernel,,,B0,recovery-harness/trials/K-MKROOT-001/analysis.json,Checkpoint supplements the immutable ledger from analysis.json.
K-HVCORE-001,K-MKROOT-001,k-hvcore-001,hyperv-execution-core,CONFIG_HYPERVISOR_GUEST;CONFIG_HYPERV,CONFIG_PARAVIRT;CONFIG_X86_HV_CALLBACK_VECTOR;CONFIG_HYPERV_TIMER;CONFIG_HYPERV_VMBUS;CONFIG_X86_X2APIC;CONFIG_IRQ_MSI_LIB;CONFIG_GENERIC_MSI_IRQ,B0,recovery-harness/trials/K-HVCORE-001/analysis.json,Bundle metadata supplements omitted historical ledger fields.
K-HVCORE-DIAG-001,K-HVCORE-001,k-hvcore-001,diagnostic-rerun,,,B1,recovery-harness/trials/K-HVCORE-DIAG-001/analysis.json,Byte-identical diagnostic rerun; no config changes.
K-RECOVERY-002,K-RECOVERY-001,,external-stock-kernel-recovery-validation,,,B6-T,recovery-harness/trials/K-RECOVERY-002/analysis.json,Accepted WSL 2.7.12.0 recovery baseline.
K-HOSTCHAN-001,K-HVCORE-DIAG-001,k-hostchan-001,host-channel,CONFIG_ACPI;CONFIG_VSOCKETS;CONFIG_HYPERV_VSOCKETS,CONFIG_ACPI_HOTPLUG_IOAPIC;CONFIG_ACPI_LEGACY_TABLES_LOOKUP;CONFIG_ACPI_LPIT;CONFIG_ACPI_MRRM;CONFIG_ACPI_SYSTEM_POWER_STATES_SUPPORT;CONFIG_ARCH_HAS_ACPI_TABLE_UPGRADE;CONFIG_ARCH_MIGHT_HAVE_ACPI_PDC;CONFIG_FIRMWARE_TABLE;CONFIG_HAVE_ACPI_APEI;CONFIG_HAVE_ACPI_APEI_NMI;CONFIG_PNP;CONFIG_PNPACPI;CONFIG_PNP_DEBUG_MESSAGES;CONFIG_SERIAL_8250_PNP;CONFIG_X86_PM_TIMER,B2,recovery-harness/trials/K-HOSTCHAN-001/analysis.json,Bundle metadata supplements omitted historical ledger fields.
K-STORAGE-001,K-HOSTCHAN-001,k-storage-001,hyperv-storage,CONFIG_SCSI_LOWLEVEL;CONFIG_HYPERV_STORAGE,,B3,recovery-harness/trials/K-STORAGE-001/analysis.json,Bundle metadata supplements omitted historical ledger fields.
K-OVERLAY-001,K-STORAGE-001,k-overlay-001,system-distro-overlay,CONFIG_OVERLAY_FS,CONFIG_FS_STACK,B0,recovery-harness/trials/K-OVERLAY-001/analysis.json,Ordinary evidence could not observe guest progress; B0 is the strict evidence ceiling and does not show regression from the parent.
K-OVERLAY-DIAG-001,K-OVERLAY-001,k-overlay-001,diagnostic-rerun,,,B3,recovery-harness/trials/K-OVERLAY-DIAG-001/analysis.json,Byte-identical ETW rerun proved overlay removed the prior crash and exposed excluded stock GNS networking as the next blocker.
CP-STOCK-2.7.12-003,K-RECOVERY-002,,stock-wsl-2.7.12-calibration,,,B6-T,recovery-harness/trials/CP-STOCK-2.7.12-003/analysis.json,Stock WSL 2.7.12 calibration and independent recovery passed the fixed Toybox probe.
"CP-MINIMAL-V3-STOCK-NS-001","CP-STOCK-2.7.12-003","","minimal-v3-stock-ns","","","B2","recovery-harness/trials/CP-MINIMAL-V3-STOCK-NS-001/analysis.json","Initial-configuration fail-closed predicate is the evidence-selected blocker; no namespace conclusion is supported."
"CP-MINIMAL-V4-STOCK-NS-001","CP-MINIMAL-V3-STOCK-NS-001","","minimal-v4-stock-ns","","","B6-T","recovery-harness/trials/CP-MINIMAL-V4-STOCK-NS-001/analysis.json","Sender correction reached Toybox B6-T; namespace necessity remains unresolved pending the mount-only sibling."
"CP-MINIMAL-V4-MOUNT-NS-001","CP-MINIMAL-V4-STOCK-NS-001","","minimal-v4-mount-ns","","","B3","recovery-harness/trials/CP-MINIMAL-V4-MOUNT-NS-001/analysis.json","Mount-only reached the registered ext4 mount but closed WslCorePort before CreateInstanceResult; the full passing namespace bundle remains selected while individual IPC, PID, and UTS necessity is unresolved."
"CP-MINIMAL-V5-MOUNT-PID-NS-001","CP-MINIMAL-V4-MOUNT-NS-001","","minimal-v5-mount-pid-ns","","","B6-T","recovery-harness/trials/CP-MINIMAL-V5-MOUNT-PID-NS-001/analysis.json","Mount plus PID restored B6-T while IPC and UTS remained omitted, selecting PID namespace semantics and rejecting IPC and UTS from the tested minimal control plane."
"CP-MINIMAL-V5-K-PIDNS-001","CP-MINIMAL-V5-MOUNT-PID-NS-001","k-pidns-001","reduced-kernel-pid-ns","CONFIG_PID_NS","","B2","recovery-harness/trials/CP-MINIMAL-V5-K-PIDNS-001/analysis.json","K-STORAGE plus PID reached B2 but dynamic registered-distro VHDX association failed in HCS before ext4 mount; stock recovery B6-T and fixture Off."
"CP-MINIMAL-V5-K-OVERLAY-PIDNS-001","CP-MINIMAL-V5-K-PIDNS-001","k-overlay-pidns-001","overlay-parent-plus-pid-ns","CONFIG_PID_NS","","B2","recovery-harness/trials/CP-MINIMAL-V5-K-OVERLAY-PIDNS-001/analysis.json","Known post-B3 overlay parent plus PID reproduced the B2 invalid storage-handle failure; overlay rejected as explanation; stock recovery B6-T and fixture Off."
